Paper ID,Order,Type,Title,Authors
433,233,AP,A Bayesian Approach to Multimodal Visual Dictionary Learning,Go Irie@ Dong Liu@ Zhenguo Li@ Shih-Fu Chang
1634,234,AP,A Statistical Model for Recreational Trails in Aerial Images,Andrew Predoehl@ Scott Morris@ Kobus Barnard
527,235,AP,Beta Process Joint Dictionary Learning for Coupled Feature Spaces with Application to Single Image Super-Resolution,Li He@ Hairong Qi@ Russell Zaretzki
1314,236,AP,Dictionary Learning from Ambiguously Labeled Data,Yi-Chen Chen@ Vishal M. Patel@ Jaishanker K. Pillai@ Rama Chellappa@ P. Jonathon Phillips
1503,237,AP,Generalized Domain-Adaptive Dictionaries,Sumit Shekhar@ Vishal M. Patel@ Hien V. Nguyen@ Rama Chellappa
339,238,AP,Tag Taxonomy Aware Dictionary Learning for Region Tagging,Jingjing Zheng@ Zhuolin Jiang
2055,239,AP,Block and Group Regularized Sparse Modeling for Dictionary Learning,Yu-Tseh Chi@ Mohsen Ali@ Ajit Rajwade@ Jeffrey Ho
106,240,AP,Multi-level Discriminative Dictionary Learning towards Hierarchical Visual Categorization,Li Shen@ Shuhui Wang@ Gang Sun@ Shuqiang Jiang@ Qingming Huang
262,241,AP,Fast Convolutional Sparse Coding,Hilton Bristow@ Anders Eriksson@ Simon Lucey
4,243,AP,Transfer Sparse Coding for Robust Image Representation,Mingsheng Long@ Guiguang Ding@ Jianmin Wang@ Jiaguang Sun@ Yuchen Guo@ Philip S. Yu
346,244,AP,Online Robust Dictionary Learning,Cewu Lu@ Jiaping Shi@ Jiaya Jia
1453,245,AP,Multi-task Sparse Learning with Beta Process Prior for Action Recognition,Chunfeng Yuan@ Weiming Hu@ Guodong Tian@ Shuang Yang@ Haoran Wang
1461,246,AP,Scalable Sparse Subspace Clustering,Xi Peng@ Lei Zhang@ Zhang Yi
1667,247,AP,Separable Dictionary Learning,Simon Hawe@ Matthias Seibert@ Martin Kleinsteuber
304,248,AP,Compressed Hashing,Yue Lin@ Rong Jin@ Deng Cai@ Shuicheng Yan@ Xuelong Li
1208,249,AP,Improved Image Set Classification via Joint Sparse Approximated Nearest Subspaces,Shaokang Chen@ Conrad Sanderson@ Mehrtash T. Harandi@ Brian C. Lovell
1264,250,AP,Optimizing 1-Nearest Prototype Classifiers,Paul Wohlhart@ Martin Köstinger@ Michael Donoser@ Peter M. Roth@ Horst Bischof
1913,251,AP,Sparse Subspace Denoising for Image Manifolds,Bo Wang@ Zhuowen Tu
2064,252,AP,Weakly Supervised Learning of Mid-Level Features with Beta-Bernoulli Process Restricted Boltzmann Machines,Roni Mittelman@ Honglak Lee@ Benjamin Kuipers@ Silvio Savarese
673,253,AP,Learning Binary Codes for High-Dimensional Data Using Bilinear Projections,Yunchao Gong@ Sanjiv Kumar@ Henry A. Rowley@ Svetlana Lazebnik
1160,254,AP,Semi-supervised Node Splitting for Random Forest Construction,Xiao Liu@ Mingli Song@ Dacheng Tao@ Zicheng Liu@ Luming Zhang@ Chun Chen@ Jiajun Bu
2151,255,AP,Capturing Layers in Image Collections with Componential Models: From the Layered Epitome to the Componential Counting Grid,Alessandro Perina@ Nebojsa Jojic
532,256,AP,Alternating Decision Forests,Samuel Schulter@ Paul Wohlhart@ Christian Leistner@ Amir Saffari@ Peter M. Roth@ Horst Bischof
1467,257,AP,Exploring Implicit Image Statistics for Visual Representativeness Modeling,Xiaoshuai Sun@ Xin-Jing Wang@ Hongxun Yao@ Lei Zhang
630,258,AP,A Divide-and-Conquer Method for Scalable Low-Rank Latent Matrix Pursuit,Yan Pan@ Hanjiang Lai@ Cong Liu@ Shuicheng Yan
2056,259,AP,Supervised Descent Method and Its Applications to Face Alignment,Xuehan Xiong@ Fernando De_La_Torre
2020,260,AP,Robust Canonical Time Warping for the Alignment of Grossly Corrupted Sequences,Yannis Panagakis@ Mihalis A. Nicolaou@ Stefanos Zafeiriou@ Maja Pantic
1030,261,AP,Relative Hidden Markov Models for Evaluating Motion Skill,Qiang Zhang@ Baoxin Li
1666,262,AP,A Fast Approximate AIB Algorithm for Distributional Word Clustering,Lei Wang@ Jianjia Zhang@ Luping Zhou@ Wanqing Li
,262.1,SD,Poster Session: Recognition,
399,263,AP,Simultaneous Active Learning of Classifiers - Attributes via Relative Feedback,Arijit Biswas@ Devi Parikh
859,264,AP,Expanded Parts Model for Human Attribute and Action Recognition in Still Images,Gaurav Sharma@ Frédéric Jurie@ Cordelia Schmid
1626,265,AP,Multipath Sparse Coding Using Hierarchical Matching Pursuit,Liefeng Bo@ Xiaofeng Ren@ Dieter Fox
1319,266,AP,Semi-supervised Domain Adaptation with Instance Constraints,Jeff Donahue@ Judy Hoffman@ Erik Rodner@ Kate Saenko@ Trevor Darrell
1230,267,AP,Learning Structured Low-Rank Representations for Image Classification,Yangmuzi Zhang@ Zhuolin Jiang@ Larry S. Davis
2218,268,AP,MKPLS: Manifold Kernel Partial Least Squares for Lipreading and Speaker Identification,Amr Bakry@ Ahmed Elgammal
